,id,name,alias,startDate,coords,city,apartments<5lvl,apartments>=5lvl<10,apartments>=10<15,apartments>=15,dormitory,hotel,residential,commercial,office,retail,civic,college,school,transportation,university,stadium,sports_hall,pavilion,adult_gaming_centre,fitness_centre,park,sauna,hackerspace,bar,fast_food,cafe,food_court,restaurant,cinema,exhibition_centre,attraction,gallery,museum,zoo,yes,picnic_site
42,703,Москва 6-2,Чертаново Северное,2018-05-30,"{'lat': 55.630019, 'long': 37.599117}",Москва,0,236,101,139,0,5,1,9,4,28,3,3,38,8,0,0,1,0,0,2,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
43,707,Кронштадт-1,Кронштадт,2021-06-07,"{'lat': 59.996481, 'long': 29.766388}",Кронштадт,207,129,12,0,3,0,5,2,8,10,0,0,5,0,0,0,0,1,0,0,47,1,0,0,0,2,0,2,0,0,2,0,1,0,1,0
44,708,Москва 4-4,Орехово-Борисово Северное,2018-12-28,"{'lat': 55.625933, 'long': 37.724202}",Москва,2,152,153,252,3,1,2,13,3,117,0,3,47,0,1,0,1,0,0,1,10,0,0,0,2,1,0,2,0,0,0,0,0,0,0,1
45,710,Москва 13-1,Южнопортовый/Автозаводская,2018-06-01,"{'lat': 55.714289, 'long': 37.670108}",Москва,35,359,84,48,3,5,2,73,109,61,0,1,31,7,4,0,0,0,0,0,21,1,0,0,2,1,1,2,1,0,10,0,3,0,0,0
46,712,Москва 4-5,Орехово-Борисово Южное,2021-08-26,"{'lat': 55.598947, 'long': 37.725099}",Москва,10,156,79,141,2,1,0,23,4,120,0,3,35,0,0,0,1,0,0,1,7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
47,713,Москва 4-6,Зябликово,2018-10-26,"{'lat': 55.610367, 'long': 37.740345}",Москва,9,164,136,195,4,0,0,20,4,138,0,2,42,0,0,0,1,0,0,2,12,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1
48,714,Москва 4-7,Домодедовская,2018-09-22,"{'lat': 55.602779, 'long': 37.713818}",Москва,10,152,85,144,1,1,0,10,4,107,0,2,42,0,0,0,1,0,0,1,8,0,0,0,2,0,0,0,0,0,8,0,1,0,1,0
49,717,Москва 4-11,Коломенская,2019-05-09,"{'lat': 55.683209, 'long': 37.663119}",Москва,16,269,117,61,2,0,0,32,13,20,1,8,24,5,2,0,0,0,0,1,19,1,0,0,0,2,0,2,1,0,11,0,1,0,0,0
50,718,Москва 4-12,Каширская,2021-04-14,"{'lat': 55.653512, 'long': 37.648169}",Москва,20,269,61,75,7,1,0,24,1,14,1,0,27,0,32,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0
51,719,Москва 4-13,Восточное Измайлово,2018-06-17,"{'lat': 55.802381, 'long': 37.825712}",Москва,33,631,144,115,15,0,2,11,15,72,0,5,63,0,2,0,1,0,0,0,15,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0
52,722,Домодедово-2,Домодедово-2 Курыжова,2018-04-05,"{'lat': 55.40285, 'long': 37.766591}",Домодедово,24,36,33,52,0,1,10,3,4,26,0,0,5,0,0,0,0,0,0,0,4,3,0,1,2,3,1,0,0,0,0,0,0,0,0,1
53,723,Ставрополь-2,Север,2018-04-26,"{'lat': 45.064572, 'long': 41.936259}",Ставрополь,121,217,57,8,25,1,61,123,8,20,0,1,17,0,26,0,0,0,0,1,17,0,0,0,4,7,0,7,0,0,0,0,0,0,0,0
54,724,Долгопрудный-2,"Долгопрудный, ТЦ Конфитюр",2018-08-04,"{'lat': 55.931235, 'long': 37.494153}",Долгопрудный,169,208,24,119,13,3,31,74,9,176,3,1,20,1,10,0,0,2,0,0,25,3,0,0,5,4,0,2,0,0,2,0,0,1,0,0
55,726,Санкт-Петербург 5-1,пр-т. Обуховской Обороны,2018-09-26,"{'lat': 59.86915, 'long': 30.458836}",Санкт-Петербург,90,447,8,22,20,1,0,4,23,9,0,1,28,0,0,0,0,10,0,0,15,3,0,0,1,8,0,4,0,0,6,0,2,0,0,0
56,729,Орел-1,Ленина 19/2,2021-03-24,"{'lat': 52.967337, 'long': 36.063792}",Орёл,200,496,44,71,1,0,22,19,17,30,0,0,9,0,5,0,0,0,0,1,36,0,0,2,1,5,0,1,1,0,1,0,3,0,0,0
57,791,Волгодонск-1,Волгодонск-1,2022-12-24,"{'lat': 47.513406, 'long': 42.186056}",Волгодонск,138,439,60,10,1,1,11,11,1,16,0,3,21,0,3,0,0,0,0,1,30,2,0,4,4,13,0,0,2,0,4,0,1,0,0,0
58,793,Куйбышев-1,Куйбышев и Барабинск,2018-12-31,"{'lat': 55.445979, 'long': 78.31445}",Куйбышев,23,6,0,0,5,1,679,1,0,4,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
59,796,Кропоткин-1,"Красная, 92",2018-09-25,"{'lat': 45.434283, 'long': 40.568771}",Кропоткин,9,30,0,0,0,1,4,2,2,30,2,2,8,0,2,0,0,1,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
60,797,Орел-2,"Комсомольская, 248",2018-06-24,"{'lat': 52.93958, 'long': 36.045022}",Орёл,137,321,29,38,1,0,22,15,6,17,0,0,7,1,1,0,0,0,0,1,23,0,0,0,1,5,0,1,1,0,0,0,3,0,0,0
61,798,Москва 5-2,Старое Марьино,2019-01-16,"{'lat': 55.647527, 'long': 37.723936}",Москва,71,53,125,170,2,0,2,15,3,47,1,1,18,0,3,0,0,0,0,1,17,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
62,803,Егорьевск-1,Егорьевск,2018-07-13,"{'lat': 55.373076, 'long': 39.0545}",Егорьевск,126,232,18,0,5,0,33,18,3,61,0,2,8,0,2,0,0,1,0,1,10,0,0,1,2,6,0,0,0,0,4,0,1,0,0,0
63,805,Курск-1,"Курск-1, Карла Маркса 68",2018-11-10,"{'lat': 51.761889, 'long': 36.184553}",Курск,103,210,36,21,8,0,20,6,5,5,0,2,3,0,0,0,0,284,0,0,177,0,0,0,3,7,0,0,1,0,4,1,3,0,0,0
64,806,Пенза-2,"Пенза-2, ТРЦ Квадрат",2018-08-12,"{'lat': 53.227097, 'long': 44.938016}",Пенза,160,462,99,25,39,2,3,62,6,43,0,1,10,2,8,0,0,0,0,1,22,1,0,3,4,16,0,4,0,0,2,0,0,0,0,0
65,808,Истра-1,Истра,2018-10-02,"{'lat': 55.914227, 'long': 36.865951}",Истра,20,109,15,1,2,1,12,8,16,96,3,0,5,0,0,0,0,0,0,0,14,0,0,1,3,4,0,1,0,0,2,0,4,0,0,0
66,809,Екатеринбург-5,Екатеринбург-5,2018-11-12,"{'lat': 56.790353, 'long': 60.515252}",Екатеринбург,119,202,78,105,1,0,43,17,2,17,0,2,13,0,0,0,0,2,0,0,44,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
67,813,Арзамас-1,Арзамас,2018-08-28,"{'lat': 55.399702, 'long': 43.832319}",Арзамас,183,146,1,0,14,0,819,24,2,30,1,8,13,0,3,3,0,0,0,0,15,1,0,3,0,11,0,1,1,0,2,0,3,0,0,0
68,814,Москва 0-14,Обручева,2021-01-09,"{'lat': 55.65881, 'long': 37.514383}",Москва,5,277,97,286,28,2,0,44,45,90,1,2,41,0,45,0,8,0,0,1,11,0,0,0,5,1,0,1,1,0,1,0,0,0,0,1
69,815,Москва 0-15,Бутырская,2019-03-28,"{'lat': 55.813649, 'long': 37.603651}",Москва,27,493,172,117,5,2,0,66,56,45,0,4,39,8,7,0,0,0,0,2,21,1,0,1,7,11,0,2,2,0,18,0,1,0,0,1
70,817,Санкт-Петербург 2-6,м. Нарвская,2018-08-09,"{'lat': 59.900506, 'long': 30.27197}",Санкт-Петербург,281,203,7,10,19,3,50,11,81,16,1,1,29,2,2,1,0,3,0,0,57,1,0,0,11,3,0,3,0,0,2,0,3,0,0,0
71,820,Челябинск-4,"Сталеваров, 7в",2018-07-19,"{'lat': 55.26208, 'long': 61.403389}",Челябинск,167,370,76,4,7,0,122,114,3,32,0,14,27,0,0,0,0,0,0,0,26,0,0,0,1,7,0,1,0,0,11,0,1,0,0,0
